Hour;TL1H80;TL2H80;TL3H80;TL4H80;TL5H80;TL6H80;TL7H80;TL8H80;TL9H80;TL10H80;WSL1H80;WSL2H80;WSL3H80;WSL4H80;WSL5H80;WSL6H80;WSL7H80;WSL8H80;WSL9H80;WSL10H80;WDL1H80;WDL2H80;WDL3H80;WDL4H80;WDL5H80;WDL6H80;WDL7H80;WDL8H80;WDL9H80;WDL10H80;WG
1;12.45;13.05;11.95;13.25;15.75;13.95;12.25;13.45;12.15;11.35;5.364969711;3.365947118;6.282459709;7.878584898;4.788120717;10.18567622;6.298984045;9.354539005;6.797205308;5.965836069;37.95928341;93.40644375;10.36194646;36.17173535;37.27675307;51.21720191;42.55514828;31.80411841;52.05108635;26.47915052;85.16
3;12.45;12.91666667;11.15;12.85;15.48333333;14.68333333;11.91666667;13.65;12.08333333;11.28333333;4.923911078;3.135646805;6.516570876;8.532985785;6.036120318;11.06443368;6.133193024;9.997003857;7.201815419;6.198763775;36.30711677;98.12979926;9.525538361;29.22742562;24.31654381;21.09752232;48.16535027;26.29070003;49.10196785;27.05037141;72.25
4;12.45;12.85;10.75;12.65;15.35;15.05;11.75;13.75;12.05;11.25;4.703381762;3.020496648;6.633626459;8.860186228;6.660120119;11.50381241;6.050297513;10.31823628;7.404120474;6.315227629;35.48103344;100.491477;9.107334312;25.75527076;17.83643918;6.037682521;50.97045127;23.53399084;47.62740859;27.33598185;69.45
5;12.21666667;12.51666667;10.38333333;12.55;15.18333333;14.88333333;11.55;13.75;12.55;11.31666667;4.993406156;3.120336119;6.322271435;8.430678913;5.884802275;9.59838196;5.908172382;10.30069502;7.292379203;5.771394135;39.09020872;102.3568605;12.59803632;27.50441021;16.47352044;5.511604439;50.44653596;21.58720722;33.99926677;21.3780953;52.69
6;11.98333333;12.18333333;10.01666667;12.45;15.01666667;14.71666667;11.35;13.75;13.05;11.38333333;5.283430549;3.220175589;6.010916411;8.001171597;5.109484431;7.692951509;5.76604725;10.28315376;7.180637932;5.227560642;42.699384;104.2222441;16.08873833;29.25354966;15.11060169;4.985526356;49.92262066;19.64042361;20.37112495;15.42020876;54.69
7;11.75;11.85;9.65;12.35;14.85;14.55;11.15;13.75;13.55;11.45;5.573454943;3.32001506;5.699561387;7.571664282;4.334166587;5.787521058;5.623922119;10.2656125;7.068896661;4.683727148;46.30855928;106.0876276;19.57944034;31.00268911;13.74768294;4.459448274;49.39870535;17.69363999;6.742983123;9.462322208;48
8;12.08333333;12.11666667;9.75;12.68333333;14.95;14.55;11.95;14.21666667;13.91666667;11.68333333;4.687073136;3.224228574;5.647378798;7.689804029;4.285251605;6.020108486;4.999192521;10.35365936;7.286365008;4.624631378;47.8220134;110.6791019;18.10778053;29.88988306;29.28976164;10.78703332;49.26611673;13.99528561;0.584666616;14.06333773;39.56
9;12.41666667;12.38333333;9.85;13.01666667;15.05;14.55;12.75;14.68333333;14.28333333;11.91666667;3.80069133;3.128442088;5.595196209;7.807943775;4.236336623;6.252695913;4.374462922;10.44170622;7.503833356;4.565535607;49.33546752;115.2705761;16.63612071;28.77707702;44.83184033;17.11461837;49.13352811;10.29693122;-5.573649891;18.66435326;30.34
10;12.75;12.65;9.95;13.35;15.15;14.55;13.55;15.15;14.65;12.15;2.914309524;3.032655602;5.543013621;7.926083522;4.187421641;6.48528334;3.749733324;10.52975308;7.721301704;4.506439837;50.84892165;119.8620504;15.1644609;27.66427098;60.37391902;23.44220341;49.00093948;6.598576834;-11.7319664;23.26536878;23.32
11;13.88333333;13.81666667;10.45;14.25;16.01666667;14.98333333;14.61666667;15.75;15.18333333;12.65;2.439584423;2.531955553;4.20929226;7.138803343;4.957391168;6.862430566;2.950130752;9.159643272;6.81054379;3.978687623;46.44558854;116.1319359;20.23970079;23.37134455;66.46200763;30.29124087;31.96026086;10.54403416;-6.672181981;28.93771169;22.96
