Hour;TL1H80;TL2H80;TL3H80;TL4H80;TL5H80;TL6H80;TL7H80;TL8H80;TL9H80;TL10H80;WSL1H80;WSL2H80;WSL3H80;WSL4H80;WSL5H80;WSL6H80;WSL7H80;WSL8H80;WSL9H80;WSL10H80;WDL1H80;WDL2H80;WDL3H80;WDL4H80;WDL5H80;WDL6H80;WDL7H80;WDL8H80;WDL9H80;WDL10H80
2;12.45;12.98333333;11.55;13.05;15.61666667;14.31666667;12.08333333;13.55;12.11666667;11.31666667;5.144440395;3.250796961;6.399515293;8.205785342;5.412120518;10.62505495;6.216088534;9.675771431;6.999510364;6.082299922;37.13320009;95.76812151;9.943742409;32.69958048;30.79664844;36.15736212;45.36024928;29.04740922;50.5765271;26.76476097
18;14.95;15.98333333;12.88333333;15.55;16.91666667;16.21666667;15.98333333;16.08333333;15.31666667;14.01666667;3.005050442;3.307089292;2.148465522;4.256497189;8.085100642;11.2168115;1.497197678;8.640617671;6.635857493;5.008514294;69.41105541;120.8704205;137.3349643;43.23536952;76.54930892;69.34479114;64.9970557;36.83802796;58.15988095;51.78420288
22;14.85;15.25;13.15;15.45;16.15;15.95;15.05;16.35;15.35;13.25;4.244537666;3.548816704;2.157243612;6.627050626;11.50866196;17.03975645;3.449884056;11.60852273;11.441416;5.990926473;41.27481482;85.96039468;136.3147543;52.10985071;20.49777637;22.16980578;51.23644215;35.67538018;54.03153499;55.88552705
23;14.71666667;14.88333333;13.28333333;15.35;15.68333333;15.45;14.68333333;16.35;15.45;13.08333333;4.712151752;3.40400111;1.951993335;7.079912786;9.798034031;15.92650917;4.48230163;12.24480649;12.42140411;5.833908711;32.58082023;75.31133124;117.0093324;44.81505038;6.392486134;14.75198938;46.09168829;31.70939629;40.42920706;53.82458096
1;14.45;14.15;13.55;15.15;14.75;14.45;13.95;16.35;15.65;12.75;5.647379923;3.11436992;1.541492783;7.985637107;6.376778183;13.7000146;6.547136779;13.51737401;14.38138032;5.519873187;15.19283103;54.01320436;78.39848847;30.22544972;-21.81809434;-0.083643414;35.80218058;23.77742851;13.22455119;49.70268876
5;13.65;13.08333333;11.85;12.85;12.31666667;12.01666667;13.25;15.65;13.18333333;12.58333333;1.990651384;2.526090307;5.128293704;6.568611281;4.656579017;11.42983246;5.114146004;12.11681659;15.03006607;6.123614181;40.69523106;130.3215442;12.19631633;10.19569191;-21.02192456;-6.25904443;47.19046258;0.009193864;-10.74115626;-1.294029871
11;14.68333333;14.31666667;12.68333333;14.01666667;12.55;11.65;15.45;13.98333333;12.01666667;13.25;2.004216072;2.608236663;2.890272419;1.254904436;4.023145069;5.711364995;1.909504251;8.189731047;9.832996221;2.690313225;112.0096835;156.2885202;-35.46266475;63.21110559;123.2035867;28.46241767;17.56311118;-17.6010766;-16.25720214;1.711160189
17;15.25;15.58333333;14.58333333;15.55;14.41666667;12.38333333;16.51666667;14.11666667;12.25;13.28333333;3.480522473;3.627313362;1.886481338;5.517213867;8.248968335;6.291890971;2.383517105;2.633743873;3.8426104;3.453875191;85.50801525;134.7826065;162.4443116;120.8176935;122.1020313;99.60041194;140.6513502;38.42695647;33.67605123;97.94008142
20;14.81666667;15.11666667;13.71666667;14.71666667;14.08333333;11.51666667;15.55;13.38333333;11.25;11.78333333;5.052506635;4.355597725;2.741267063;7.03950441;8.859570249;8.346554155;4.020367492;3.630339584;4.746480892;3.876838694;63.06177996;131.0691939;144.1528824;108.1532199;118.0180275;105.628719;62.75449352;105.9083377;92.94028243;113.5903521
22;14.75;14.85;13.45;14.25;14.35;11.65;14.55;13.25;10.45;11.45;6.905077842;4.78949893;3.018111993;8.039415402;9.331971925;10.17621737;5.762499458;6.017416389;7.677948945;5.287362291;52.11773885;111.0460998;126.376308;83.64406766;93.93251344;94.11369704;58.62699486;96.39276631;101.2660277;101.0124051
1;14.45;14.45;12.85;14.85;15.85;13.05;14.25;13.35;10.15;10.75;8.982304827;5.47646784;2.473155879;9.128773192;5.88600034;9.043765809;6.50628158;8.758612904;9.296391773;6.486000308;36.39786561;75.83688389;78.09941031;45.13314255;43.21008939;59.72076127;51.05137725;72.86841393;94.31834667;81.22025681
